Carbonate budgets,Coral production,CCA production,Micro bioerosion,Macro bioerosion,PF bioerosion,Urchin bioerosion,Transect,Year
1.218337981,1.971671776,0.011750542,-0.310562448,-0.00433469,-0.004023019,-0.01413,1,2019
0.401911857,0.875762952,0.327840495,-0.301919625,-0.015064767,-0.009247389,-0.04865,2,2019
1.05029458,1.800365261,0,-0.303626814,-0.009976667,-0.392305869,-0.00041,3,2019
-0.38010853,0.377507512,0,-0.262269287,-0.023449555,-0.374475241,-0.03584,4,2019
0.227152632,1.006933047,0,-0.308996247,-0.01393697,-0.136340459,-0.02079,5,2019
-0.150570978,0.629405621,0,-0.296403126,-0.028756275,-0.141340343,-0.01876,6,2019
,,,,,-3.290770615,,7,2019
,,,,,0,,8,2019
,,,,,0,,9,2019
,,,,,-0.012069056,,10,2019
-0.79259849,0.726726629,0.064793062,-0.641005499,-0.162144091,-0.575524802,0,1,2022
-0.399207924,0.511793961,0.144635513,-0.272238806,0,-0.619822207,-0.00243,2,2022
-0.69316931,0.465200486,0,-0.290628967,-0.086772239,-0.108209364,0,3,2022
-0.910687642,0.136541976,0,-0.265861027,0,-0.641034981,-0.0004,4,2022
-0.2800783,0.855158948,0,-0.354268657,0,-0.016073136,0,5,2022
-0.406135729,0.657218421,0,-0.279275559,0,-0.671988711,-0.00311,6,2022
,,,,,-4.490593152,,7,2022
,,,,,-0.52430001,,8,2022
,,,,,-0.134313633,,9,2022
,,,,,-0.02782592,,10,2022
