Date,Time,PAR (raw),Datetime (AST),PAR (calc),,Serial #:,6521
5/21/23,11:29:59,9362,5/21/2023 7:29:59,62.13273989,,Location:,NCRMP Suite - Puerto Rico
5/21/23,11:30:00,9347,5/21/2023 7:30:00,61.3861283,,Digital Im:,1.3589
5/21/23,11:30:01,9329,5/21/2023 7:30:01,60.50202738,,Digital a1:,2857
5/21/23,11:30:02,9257,5/21/2023 7:30:02,57.09113377,,Digital a0:,4619
5/21/23,11:30:04,9221,5/21/2023 7:30:04,55.45848962,,Note:,"instrument times logged in UTC, but converted here to AST"
5/21/23,11:30:05,8787,5/21/2023 7:30:05,39.08952943,,,
5/21/23,11:30:06,6924,5/21/2023 7:30:06,8.709191462,,,
5/21/23,11:30:07,9640,5/21/2023 7:30:07,77.73656935,,,
5/21/23,11:30:08,9722,5/21/2023 7:30:08,83.04754633,,,
5/21/23,11:30:09,9957,5/21/2023 7:30:09,100.3646833,,,
5/21/23,11:45:00,6823,5/21/2023 7:45:00,8.028345805,,,
5/21/23,11:45:01,6818,5/21/2023 7:45:01,7.996058873,,,
5/21/23,11:45:02,6821,5/21/2023 7:45:02,8.015415417,,,
5/21/23,11:45:03,6788,5/21/2023 7:45:03,7.805045839,,,
5/21/23,11:45:04,6808,5/21/2023 7:45:04,7.931874025,,,
5/21/23,11:45:05,6814,5/21/2023 7:45:05,7.970322842,,,
5/21/23,11:45:06,6805,5/21/2023 7:45:06,7.912719226,,,
5/21/23,11:45:07,6804,5/21/2023 7:45:07,7.906344578,,,
5/21/23,11:45:08,6812,5/21/2023 7:45:08,7.957485905,,,
5/21/23,11:45:10,6812,5/21/2023 7:45:10,7.957485905,,,
5/21/23,12:00:01,8171,5/21/2023 8:00:01,23.79302505,,,
5/21/23,12:00:02,8159,5/21/2023 8:00:02,23.56402375,,,
5/21/23,12:00:03,8179,5/21/2023 8:00:03,23.94692763,,,
5/21/23,12:00:04,8072,5/21/2023 8:00:04,21.96837479,,,
5/21/23,12:00:05,8103,5/21/2023 8:00:05,22.52415315,,,
5/21/23,12:00:06,7972,5/21/2023 8:00:06,20.26731321,,,
5/21/23,12:00:07,7963,5/21/2023 8:00:07,20.12083601,,,
5/21/23,12:00:08,8106,5/21/2023 8:00:08,22.57867874,,,
5/21/23,12:00:09,8163,5/21/2023 8:00:09,23.64011156,,,
5/21/23,12:00:11,7935,5/21/2023 8:00:11,19.67186483,,,
5/21/23,12:15:02,4782,5/21/2023 8:15:02,1.549674017,,,
5/21/23,12:15:03,4678,5/21/2023 8:15:03,1.425077657,,,
5/21/23,12:15:04,5136,5/21/2023 8:15:04,2.061325361,,,
5/21/23,12:15:05,5302,5/21/2023 8:15:05,2.356402375,,,
5/21/23,12:15:06,5452,5/21/2023 8:15:06,2.659206581,,,
5/21/23,12:15:07,5277,5/21/2023 8:15:07,2.309399217,,,
5/21/23,12:15:08,5401,5/21/2023 8:15:08,2.552120549,,,
5/21/23,12:15:09,5353,5/21/2023 8:15:09,2.455276145,,,
5/21/23,12:15:10,5262,5/21/2023 8:15:10,2.281648562,,,
5/21/23,12:15:12,5369,5/21/2023 8:15:12,2.487142245,,,
5/21/23,12:30:03,10328,5/21/2023 8:30:03,135.3435025,,,
5/21/23,12:30:04,10330,5/21/2023 8:30:04,135.5618373,,,
5/21/23,12:30:05,10312,5/21/2023 8:30:05,133.6094361,,,
5/21/23,12:30:06,10344,5/21/2023 8:30:06,137.1000746,,,
5/21/23,12:30:07,10367,5/21/2023 8:30:07,139.6651634,,,
5/21/23,12:30:08,10364,5/21/2023 8:30:08,139.3278839,,,
5/21/23,12:30:09,10348,5/21/2023 8:30:09,137.5427683,,,
5/21/23,12:30:10,10339,5/21/2023 8:30:10,136.5487106,,,
5/21/23,12:30:11,10347,5/21/2023 8:30:11,137.4319611,,,
5/21/23,12:30:13,10359,5/21/2023 8:30:13,138.7675605,,,
5/21/23,12:45:04,11369,5/21/2023 8:45:04,313.1883722,,,
5/21/23,12:45:05,11371,5/21/2023 8:45:05,313.6936045,,,
5/21/23,12:45:06,11400,5/21/2023 8:45:06,321.1117313,,,
5/21/23,12:45:07,11383,5/21/2023 8:45:07,316.7421604,,,
5/21/23,12:45:08,11419,5/21/2023 8:45:08,326.0667424,,,
5/21/23,12:45:09,11410,5/21/2023 8:45:09,323.7101724,,,
5/21/23,12:45:10,11386,5/21/2023 8:45:10,317.5089173,,,
5/21/23,12:45:11,11371,5/21/2023 8:45:11,313.6936045,,,
5/21/23,12:45:13,11372,5/21/2023 8:45:13,313.9465263,,,
5/21/23,12:45:14,11371,5/21/2023 8:45:14,313.6936045,,,
5/21/23,13:00:05,10989,5/21/2023 9:00:05,230.5679718,,,
5/21/23,13:00:06,10982,5/21/2023 9:00:06,229.2708582,,,
5/21/23,13:00:07,10971,5/21/2023 9:00:07,227.2472646,,,
5/21/23,13:00:08,10988,5/21/2023 9:00:08,230.3822215,,,
5/21/23,13:00:09,10998,5/21/2023 9:00:09,232.246478,,,
5/21/23,13:00:10,10998,5/21/2023 9:00:10,232.246478,,,
5/21/23,13:00:11,10990,5/21/2023 9:00:11,230.7538718,,,
5/21/23,13:00:12,10990,5/21/2023 9:00:12,230.7538718,,,
5/21/23,13:00:14,10963,5/21/2023 9:00:14,225.7867874,,,
5/21/23,13:00:15,10983,5/21/2023 9:00:15,229.4557124,,,
5/21/23,13:15:06,11203,5/21/2023 9:15:06,273.96982,,,
5/21/23,13:15:07,11227,5/21/2023 9:15:07,279.3207146,,,
5/21/23,13:15:08,11190,5/21/2023 9:15:08,271.1143448,,,
5/21/23,13:15:09,11190,5/21/2023 9:15:09,271.1143448,,,
5/21/23,13:15:10,11140,5/21/2023 9:15:10,260.4063809,,,
5/21/23,13:15:11,11186,5/21/2023 9:15:11,270.241739,,,
5/21/23,13:15:12,11180,5/21/2023 9:15:12,268.9380935,,,
5/21/23,13:15:13,11197,5/21/2023 9:15:13,272.6481903,,,
5/21/23,13:15:15,11183,5/21/2023 9:15:15,269.5891283,,,
5/21/23,13:15:16,11164,5/21/2023 9:15:16,265.4923685,,,
5/21/23,13:30:07,10820,5/21/2023 9:30:07,201.2083601,,,
5/21/23,13:30:08,10808,5/21/2023 9:30:08,199.2717852,,,
5/21/23,13:30:09,10777,5/21/2023 9:30:09,194.3547992,,,
5/21/23,13:30:10,10787,5/21/2023 9:30:10,195.9275212,,,
5/21/23,13:30:11,10772,5/21/2023 9:30:11,193.5731786,,,
5/21/23,13:30:12,10777,5/21/2023 9:30:12,194.3547992,,,
5/21/23,13:30:13,10779,5/21/2023 9:30:13,194.6683304,,,
5/21/23,13:30:14,10777,5/21/2023 9:30:14,194.3547992,,,
5/21/23,13:30:16,10775,5/21/2023 9:30:16,194.0417729,,,
5/21/23,13:30:17,10780,5/21/2023 9:30:17,194.8252856,,,
5/21/23,13:45:08,10827,5/21/2023 9:45:08,202.3467084,,,
5/21/23,13:45:09,10834,5/21/2023 9:45:09,203.4914969,,,
5/21/23,13:45:10,10840,5/21/2023 9:45:10,204.4778978,,,
5/21/23,13:45:11,10826,5/21/2023 9:45:11,202.1836938,,,
5/21/23,13:45:12,10833,5/21/2023 9:45:12,203.32756,,,
5/21/23,13:45:13,10827,5/21/2023 9:45:13,202.3467084,,,
5/21/23,13:45:14,10840,5/21/2023 9:45:14,204.4778978,,,
5/21/23,13:45:15,10856,5/21/2023 9:45:15,207.1317391,,,
5/21/23,13:45:17,10859,5/21/2023 9:45:17,207.6331555,,,
5/21/23,13:45:18,10834,5/21/2023 9:45:18,203.4914969,,,
5/21/23,14:00:09,10680,5/21/2023 10:00:09,179.7395175,,,
5/21/23,14:00:10,10695,5/21/2023 10:00:10,181.9256076,,,
5/21/23,14:00:11,10708,5/21/2023 10:00:11,183.8417145,,,
5/21/23,14:00:12,10691,5/21/2023 10:00:12,181.3400637,,,
5/21/23,14:00:13,10685,5/21/2023 10:00:13,180.4652797,,,
5/21/23,14:00:14,10689,5/21/2023 10:00:14,181.0479989,,,
5/21/23,14:00:15,10671,5/21/2023 10:00:15,178.4404928,,,
5/21/23,14:00:16,10667,5/21/2023 10:00:16,177.8661661,,,
5/21/23,14:00:18,10672,5/21/2023 10:00:18,178.584364,,,
5/21/23,14:00:19,10669,5/21/2023 10:00:19,178.153098,,,
5/21/23,14:15:10,10780,5/21/2023 10:15:10,194.8252856,,,
5/21/23,14:15:11,10779,5/21/2023 10:15:11,194.6683304,,,
5/21/23,14:15:12,10774,5/21/2023 10:15:12,193.8854489,,,
5/21/23,14:15:13,10773,5/21/2023 10:15:13,193.7292508,,,
5/21/23,14:15:14,10788,5/21/2023 10:15:14,196.0854917,,,
5/21/23,14:15:15,10789,5/21/2023 10:15:15,196.2435895,,,
5/21/23,14:15:16,10775,5/21/2023 10:15:16,194.0417729,,,
5/21/23,14:15:17,10768,5/21/2023 10:15:17,192.950146,,,
5/21/23,14:15:19,10765,5/21/2023 10:15:19,192.4841879,,,
5/21/23,14:15:20,10769,5/21/2023 10:15:20,193.1057159,,,
5/21/23,14:30:11,10873,5/21/2023 10:30:11,209.9891952,,,
5/21/23,14:30:12,10855,5/21/2023 10:30:12,206.9648696,,,
5/21/23,14:30:13,10862,5/21/2023 10:30:13,208.1357856,,,
5/21/23,14:30:14,10842,5/21/2023 10:30:14,204.8077595,,,
5/21/23,14:30:15,10865,5/21/2023 10:30:15,208.6396325,,,
5/21/23,14:30:16,10888,5/21/2023 10:30:16,212.5431984,,,
5/21/23,14:30:17,10879,5/21/2023 10:30:17,211.0070929,,,
5/21/23,14:30:18,10876,5/21/2023 10:30:18,210.4975288,,,
5/21/23,14:30:20,10863,5/21/2023 10:30:20,208.3035992,,,
5/21/23,14:30:21,10864,5/21/2023 10:30:21,208.4715482,,,
5/21/23,14:45:12,11302,5/21/2023 10:45:12,296.7252176,,,
